Date,Perlis,Kedah,Penang,Perak,Selangor,N Sembilan,Melaka,Johor,Pahang,Terengganu,Kelantan,Sabah,Sarawak,KL,Putrajaya,Labuan,Total
03/14/20,2,5,7,2,92,19,6,22,2,2,3,26,6,43,1,2,240
03/15/20,7,28,14,18,86,34,13,32,19,4,17,57,19,81,2,4,435
03/16/20,8,29,15,18,143,42,14,44,19,4,18,57,21,103,2,4,541
03/17/20,8,31,23,23,161,45,17,77,28,7,25,82,29,110,3,4,673
03/18/20,8,36,30,28,192,45,18,88,29,10,30,103,49,115,4,5,790
03/19/20,9,40,32,35,223,56,20,101,32,11,44,112,52,123,6,5,901
03/20/20,9,41,37,45,263,65,22,114,36,20,51,119,58,139,6,5,1030
03/21/20,9,47,50,55,292,70,22,129,37,27,61,136,68,166,9,5,1183
03/22/20,9,52,58,66,309,78,23,145,40,32,63,158,76,183,9,5,1306
03/23/20,9,59,66,81,354,94,25,158,38,38,71,169,78,242,13,5,1500
03/24/20,9,64,68,98,381,109,31,162,56,38,78,170,83,257,15,5,1624
03/25/20,10,69,70,128,435,123,33,196,64,38,84,170,85,270,16,5,1796
03/26/20,10,72,74,151,510,132,33,239,66,39,94,172,95,321,18,5,2031
03/27/20,10,73,80,159,546,138,33,259,70,41,98,182,110,323,34,5,2161
03/28/20,10,74,86,165,579,153,42,285,84,45,108,197,118,344,20,10,2320
03/29/20,10,75,87,176,612,162,43,309,96,47,123,197,129,372,22,10,2470
03/30/20,11,77,88,184,672,172,50,333,99,47,127,201,135,396,24,10,2626
03/31/20,12,77,94,189,704,181,52,349,102,47,131,206,156,430,26,10,2766
4/1/2020,12,79,96,194,726,189,63,368,119,48,134,209,188,455,26,10,2916
